   0,        0
   1,        0
   2,        0
   3,        0
   4,        0
   5,        0
   6,        0
   7,        0
   8,       23
   9,     1657
  10,     2408
  11,     2636
  12,     3043
  13,     3538
  14,     4141
  15,     5057
  16,     7420
  17,    13571
  18,    27790
  19,    43161
  20,    40525
  21,    24309
  22,    13883
  23,     9838
  24,     6652
  25,     4016
  26,     2962
  27,     2713
  28,     2556
  29,     2707
  30,     2630
  31,     2703
  32,     2641
  33,     2610
  34,     2792
  35,     2684
  36,     2761
  37,     2671
  38,     2682
  39,     2909
  40,     2789
  41,     2776
  42,     2774
  43,     2815
  44,     2897
  45,     2859
  46,     2819
  47,     2858
  48,     2906
  49,     2927
  50,     2942
  51,     2989
  52,     2912
  53,     2880
  54,     2934
  55,     2926
  56,     2903
  57,     2923
  58,     2796
  59,     2911
  60,     2941
  61,     2904
  62,     2873
  63,     2814
  64,     2846
  65,     2875
  66,     2782
  67,     2725
  68,     2795
  69,     2765
  70,     2738
  71,     2807
  72,     2866
  73,     2720
  74,     2757
  75,     2856
  76,     2773
  77,     2855
  78,     2778
  79,     2903
  80,     2796
  81,     2844
  82,     2726
  83,     2872
  84,     2665
  85,     2838
  86,     2760
  87,     2721
  88,     2692
  89,     2834
  90,     2690
  91,     2778
  92,     2609
  93,     2852
  94,     2782
  95,     2704
  96,     2759
  97,     2770
  98,     2745
  99,     2710
 100,     2622
 101,     2792
 102,     2748
 103,     2733
 104,     2721
 105,     2699
 106,     2795
 107,     2782
 108,     2728
 109,     2760
 110,     2737
 111,     2694
 112,     2899
 113,     2959
 114,     2911
 115,     3050
 116,     3049
 117,     3177
 118,     3437
 119,     3690
 120,     3876
 121,     3891
 122,     4181
 123,     4172
 124,     4229
 125,     4344
 126,     4220
 127,     4202
 128,     4157
 129,     4175
 130,     3971
 131,     4022
 132,     3906
 133,     3878
 134,     3796
 135,     3742
 136,     3742
 137,     3622
 138,     3589
 139,     3511
 140,     3567
 141,     3445
 142,     3397
 143,     3370
 144,     3348
 145,     3293
 146,     3221
 147,     3168
 148,     3220
 149,     3184
 150,     3125
 151,     3182
 152,     3086
 153,     3049
 154,     3049
 155,     3101
 156,     3049
 157,     3002
 158,     2904
 159,     2885
 160,     2808
 161,     2884
 162,     2810
 163,     2939
 164,     2705
 165,     2726
 166,     2688
 167,     2708
 168,     2689
 169,     2578
 170,     2658
 171,     2607
 172,     2704
 173,     2586
 174,     2597
 175,     2609
 176,     2651
 177,     2611
 178,     2558
 179,     2524
 180,     2571
 181,     2517
 182,     2487
 183,     2433
 184,     2457
 185,     2363
 186,     2495
 187,     2452
 188,     2390
 189,     2469
 190,     2402
 191,     2407
 192,     2363
 193,     2333
 194,     2338
 195,     2398
 196,     2455
 197,     2375
 198,     2261
 199,     2348
 200,     2318
 201,     2276
 202,     2264
 203,     2316
 204,     2382
 205,     2264
 206,     2331
 207,     2238
 208,     2282
 209,     2275
 210,     2313
 211,     2197
 212,     2238
 213,     2327
 214,     2229
 215,     2256
 216,     2266
 217,     2198
 218,     2324
 219,     2282
 220,     2292
 221,     2336
 222,     2193
 223,     2201
 224,     2203
 225,     2252
 226,     2265
 227,     2267
 228,     2284
 229,     2234
 230,     2158
 231,     2264
 232,     2209
 233,     2197
 234,     2269
 235,     2254
 236,     2246
 237,     2265
 238,     2366
 239,     2362
 240,     2337
 241,     2322
 242,     2304
 243,     2309
 244,     2202
 245,     2219
 246,     2292
 247,     2252
 248,     2198
 249,     2280
 250,     2365
 251,     2323
 252,     2189
 253,     2249
 254,     2371
 255,     2339
 256,     2327
 257,     2280
 258,     2257
 259,     2318
 260,     2360
 261,     2411
 262,     2342
 263,     2424
 264,     2360
 265,     2387
 266,     2416
 267,     2347
 268,     2413
 269,     2432
 270,     2412
 271,     2371
 272,     2420
 273,     2495
 274,     2448
 275,     2462
 276,     2450
 277,     2546
 278,     2456
 279,     2472
 280,     2501
 281,     2477
 282,     2511
 283,     2464
 284,     2515
 285,     2477
 286,     2441
 287,     2385
 288,     2407
 289,     2367
 290,     2269
 291,     2252
 292,     2147
 293,     2052
 294,     2008
 295,     1897
 296,     1891
 297,     1783
 298,     1683
 299,     1578
 300,     1445
 301,     1337
 302,     1362
 303,     1282
 304,     1190
 305,     1129
